"","deviations_beta_hybrid_over_n","deviations_SP_hybrid_over_n","nobs_list","nsim"
"1",1.11380624250657,0.789447416539829,1000,20
"2",0.628391117877919,0.111865532710444,1292,20
"3",0.640066517143152,0.0492239179769191,1668,20
"4",0.567968562688522,0.115865075928012,2154,20
"5",0.514220644444917,0.0229526331624155,2783,20
"6",0.368845796918099,0.014033228425605,3594,20
"7",0.206138772879211,0.0150581082635511,4642,20
"8",0.190734156435456,0.0140931876001968,5995,20
"9",0.16677503317343,0.0110664079024406,7743,20
"10",0.106271438852787,0.0054141628069601,10000,20
