"","pl_names","pl_effects","pl_pval","sample","support_indices","support_category"
"POOLED_Xslope3XSMS2ORXslope3XSMS3","(No Seeds, High Slopes, SMS (All))",2.67889693057851,0.145387921680483,0,"1 16 49 64",0
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS3","(Trusted Seeds, High Slope, SMS (All))",3.23700978994017,0.00917886681929703,0,"1 16 49 64",0
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS3","(Info Hubs, Slopes (All), SMS (All))",4.02288352361476,0.000524606278775433,0,"1 16 49 64",0
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS3","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.482919884589883,0.515422565297638,0,"1 16 49 64",0
"POOLED_Xslope3XSMS2ORXslope3XSMS31","(No Seeds, High Slopes, SMS (All))",2.82085834164908,0.121590667709291,1,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS31","(Trusted Seeds, High Slope, SMS (All))",3.05582217041429,0.0333754037830398,1,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS31","(Info Hubs, Slopes (All), SMS (All))",3.62947164038001,0.00260311064841108,1,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS31","(Trusted Info Hubs, Slopes (All), SMS (All))",0.0462614047185809,0.960554676511016,1,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS32","(No Seeds, High Slopes, SMS (All))",1.72950742487495,0.254283880300557,2,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS32","(Trusted Seeds, High Slope, SMS (All))",3.79152921814361,0.014905465691666,2,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS32","(Info Hubs, Slopes (All), SMS (All))",4.12573894140148,0.00106235433922111,2,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS32","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.556632327077032,0.525146230463597,2,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS33","(No Seeds, High Slopes, SMS (All))",2.45959867257486,0.215703430003741,3,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS33","(Trusted Seeds, High Slope, SMS (All))",2.1882582883474,0.0482002227169773,3,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS33","(Info Hubs, Slopes (All), SMS (All))",4.07367985143992,0.000891071819462076,3,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS33","(Trusted Info Hubs, Slopes (All), SMS (All))",0.251356039516833,0.771510472025492,3,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS34","(No Seeds, High Slopes, SMS (All))",2.67340154506838,0.192044116137343,4,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS34","(Trusted Seeds, High Slope, SMS (All))",3.50650611070078,0.0265925029510115,4,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS34","(Info Hubs, Slopes (All), SMS (All))",3.66029594501967,5.46620606457685e-05,4,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS34","(Trusted Info Hubs, Slopes (All), SMS (All))",0.0272582051070069,0.97933765069934,4,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS35","(No Seeds, High Slopes, SMS (All))",3.52287796177826,0.0515588047642879,5,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS35","(Trusted Seeds, High Slope, SMS (All))",2.99785861025808,0.0284125335093053,5,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS35","(Info Hubs, Slopes (All), SMS (All))",4.55733949732199,0.000322540902868343,5,"1 16 49 64",1
"POOLED_gossip3Xslope2XSMS2ORgossip3Xslope3XSMS2ORgossip3Xslope2XSMS3ORgossip3Xslope3XSMS35","(Trusted Info Hubs, Slopes (All), SMS (All))",-0.588137369226692,0.56840483893907,5,"1 16 49 64",1
"POOLED_Xslope3XSMS2ORXslope3XSMS36","(No Seeds, High Slopes, SMS (All))",2.04656475572417,0.122809496146517,6,"1 16 49 64",1
"POOLED_trusted0Xslope3XSMS2ORtrusted0Xslope3XSMS36","(Trusted Seeds, High Slope, SMS (All))",2.96000501760473,0.0589167989116865,6,"1 16 49 64",1
"POOLED_gossip2Xslope2XSMS2ORgossip2Xslope3XSMS2ORgossip2Xslope2XSMS3ORgossip2Xslope3XSMS36","(Info Hubs, Slopes (All), SMS (All))",3.93766448136604,0.00355430733673907,6,"1 16 49 64",1
