"","thickness_n_Victor_vanilla","thickness_n_backward","cover_some_best_n_backward","cover_some_best_n_vanilla","cover_min_n_vanilla","cover_min_n_backward","nobs_list","ncomb","nsim"
"1",0.7725,0.7825,0.99,1,0.85,0.94,1000,5,20
"2",0.815,0.84,1,1,0.87,0.96,1292,5,20
"3",0.835,0.855,1,1,0.9,0.95,1668,5,20
"4",0.8175,0.845,1,1,0.89,0.97,2154,5,20
"5",0.925,0.88,1,0.99,0.91,0.99,2783,5,20
"6",0.96,0.94,1,1,0.96,1,3594,5,20
"7",0.9175,0.92,1,1,0.9,1,4642,5,20
"8",0.96,0.93,1,1,0.93,1,5995,5,20
"9",0.97,0.94,1,1,0.96,1,7743,5,20
"10",0.99,0.96,1,1,0.98,1,10000,5,20
