"","support_acc_Victor_vanilla_over_n","support_acc_backward_over_n","deviations_Victor_vanilla_hybrid_over_n","deviations_SP_hybrid_over_n","thickness_Victor_vanilla_over_n","thickness_backward_over_n","cover_some_best_vanilla_over_n","cover_some_best_backward_over_n","cover_min_vanilla_over_n","cover_min_backward_over_n","backward_superset_over_n","backward_subset_over_n","backward_equal_over_n","lasso_superset_over_n","lasso_subset_over_n","lasso_equal_over_n","nobs_list","nsim","ncomb","c"
"1",0.430281746031746,0.393294011544012,0.471862333910825,0.493559416891805,0.585,0.605,0.86,0.92,0.8,0.86,0.03,0.27,0.02,0.01,0.34,0,1000,20,5,0.4
"2",0.426690476190476,0.438507686757687,0.492305352083717,0.539123810288039,0.545,0.64,0.85,0.9,0.71,0.87,0.03,0.35,0.05,0,0.37,0.02,1292,20,5,0.4
"3",0.460944444444444,0.493988095238095,0.21323027009547,0.252075166374289,0.6375,0.6975,0.92,0.97,0.87,0.93,0.01,0.48,0.05,0.01,0.33,0,1668,20,5,0.4
"4",0.481714285714286,0.545666666666667,0.134454557258829,0.18349797486184,0.64,0.6275,0.99,0.98,0.92,0.93,0.01,0.58,0.07,0,0.34,0.01,2154,20,5,0.4
"5",0.517880952380952,0.6139329004329,0.145893563283547,0.186777928828866,0.735,0.72,0.95,0.99,0.86,0.96,0,0.58,0.14,0.08,0.32,0.01,2783,20,5,0.4
"6",0.506920634920635,0.661166666666667,0.140266560647411,0.137100220540164,0.725,0.72,0.96,0.99,0.88,0.99,0,0.68,0.18,0.06,0.34,0.01,3594,20,5,0.4
"7",0.543797619047619,0.679333333333333,0.0744258388881729,0.0900787916799285,0.77,0.735,0.98,1,0.92,0.99,0,0.72,0.17,0.06,0.27,0.07,4642,20,5,0.4
"8",0.580857142857143,0.6775,0.0557093415806042,0.0716665547232434,0.78,0.715,0.99,1,0.91,0.99,0,0.79,0.15,0.15,0.38,0.07,5995,20,5,0.4
"9",0.577404761904762,0.704166666666667,0.0378538837856603,0.0497967563550877,0.805,0.745,1,1,0.95,0.99,0,0.77,0.18,0.25,0.25,0.06,7743,20,5,0.4
"10",0.583666666666667,0.725,0.0503152646869388,0.0412088958440156,0.82,0.76,0.99,1,0.94,1,0,0.79,0.2,0.31,0.19,0.08,10000,20,5,0.4
